pin,slack
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:Y,4177
p_0_cry_7:A,3053
p_0_cry_7:B,3014
p_0_cry_7:CC,3838
p_0_cry_7:P,3014
p_0_cry_7:S,3838
p_0_cry_7:Y3,
p_0_cry_7:Y3A,3070
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:A,3879
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:Y,3879
REG_OUT_I/Q[10]:ALn,
REG_OUT_I/Q[10]:CLK,
REG_OUT_I/Q[10]:D,3802
REG_OUT_I/Q[10]:EN,
REG_OUT_I/Q[10]:Q,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_24:A,5185
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_24:Y,5185
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_14:A,5183
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_14:Y,5183
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:A,3796
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:Y,3796
bbi_0_s_7:B,4156
bbi_0_s_7:C,4105
bbi_0_s_7:CC,3788
bbi_0_s_7:P,
bbi_0_s_7:S,3788
bbi_0_s_7:Y3,
bbi_0_s_7:Y3A,
aai_0_cry_0_CC_0:CC[0],
aai_0_cry_0_CC_0:CC[1],4177
aai_0_cry_0_CC_0:CC[2],4134
aai_0_cry_0_CC_0:CC[3],3939
aai_0_cry_0_CC_0:CC[4],3879
aai_0_cry_0_CC_0:CC[5],3843
aai_0_cry_0_CC_0:CC[6],3917
aai_0_cry_0_CC_0:CC[7],3788
aai_0_cry_0_CC_0:P[0],3840
aai_0_cry_0_CC_0:P[1],3788
aai_0_cry_0_CC_0:P[2],3881
aai_0_cry_0_CC_0:P[3],3939
aai_0_cry_0_CC_0:P[4],3880
aai_0_cry_0_CC_0:P[5],3964
aai_0_cry_0_CC_0:P[6],4100
aai_0_cry_0_CC_0:P[7],
aai_0_cry_0_CC_0:Y3A[0],3879
aai_0_cry_0_CC_0:Y3A[1],3889
aai_0_cry_0_CC_0:Y3A[2],3978
aai_0_cry_0_CC_0:Y3A[3],3964
aai_0_cry_0_CC_0:Y3A[4],3968
aai_0_cry_0_CC_0:Y3A[5],4051
aai_0_cry_0_CC_0:Y3A[6],4149
aai_0_cry_0_CC_0:Y3A[7],
aai_0_cry_0_CC_0:Y3[0],
aai_0_cry_0_CC_0:Y3[1],
aai_0_cry_0_CC_0:Y3[2],
aai_0_cry_0_CC_0:Y3[3],
aai_0_cry_0_CC_0:Y3[4],
aai_0_cry_0_CC_0:Y3[5],
aai_0_cry_0_CC_0:Y3[6],
aai_0_cry_0_CC_0:Y3[7],
REG_OUT_I/Q[5]:ALn,
REG_OUT_I/Q[5]:CLK,
REG_OUT_I/Q[5]:D,3815
REG_OUT_I/Q[5]:EN,
REG_OUT_I/Q[5]:Q,
p_real_obuf[15]/U_IOPAD:D,
p_real_obuf[15]/U_IOPAD:E,
p_real_obuf[15]/U_IOPAD:PAD,
bbi_0_cry_2:A,3929
bbi_0_cry_2:B,3881
bbi_0_cry_2:CC,4140
bbi_0_cry_2:P,3881
bbi_0_cry_2:S,4140
bbi_0_cry_2:Y3,
bbi_0_cry_2:Y3A,3978
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_32:A,5180
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_32:Y,5180
I_1/U0:A,
I_1/U0:Y,
p_imag_obuf[8]/U_IOTRI:D,
p_imag_obuf[8]/U_IOTRI:DOUT,
p_imag_obuf[8]/U_IOTRI:EOUT,
REG_IN_B/Q[2]:ALn,
REG_IN_B/Q[2]:CLK,3929
REG_IN_B/Q[2]:D,
REG_IN_B/Q[2]:EN,
REG_IN_B/Q[2]:Q,3929
REG_IN_AI/Q[3]:ALn,
REG_IN_AI/Q[3]:CLK,3939
REG_IN_AI/Q[3]:D,
REG_IN_AI/Q[3]:EN,
REG_IN_AI/Q[3]:Q,3939
p_real_obuf[3]/U_IOPAD:D,
p_real_obuf[3]/U_IOPAD:E,
p_real_obuf[3]/U_IOPAD:PAD,
REG_AIAR/Q[7]:ALn,
REG_AIAR/Q[7]:CLK,1388
REG_AIAR/Q[7]:D,5287
REG_AIAR/Q[7]:EN,
REG_AIAR/Q[7]:Q,1388
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:A,3795
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:Y,3795
a_real_ibuf[7]/U_IOIN:Y,
a_real_ibuf[7]/U_IOIN:YIN,
aia_0_cry_1:A,3836
aia_0_cry_1:B,3782
aia_0_cry_1:CC,4170
aia_0_cry_1:P,3782
aia_0_cry_1:S,4170
aia_0_cry_1:Y3,
aia_0_cry_1:Y3A,3864
REG_AAIR/Q[7]:ALn,
REG_AAIR/Q[7]:CLK,1460
REG_AAIR/Q[7]:D,5287
REG_AAIR/Q[7]:EN,
REG_AAIR/Q[7]:Q,1460
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:AL_N,
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[0],5260
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[10],5182
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[11],5182
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[12],5185
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[13],5183
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[14],5185
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[15],5185
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[16],5186
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[17],5186
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[1],5256
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[2],5258
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[3],5256
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[4],5256
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[5],5255
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[6],5256
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[7],5183
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[8],5184
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A[9],5181
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:A_EN,
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[0],5150
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[10],3782
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[11],3787
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[12],3787
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[13],3789
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[14],3789
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[15],3790
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[16],3789
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[17],3792
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[1],4170
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[2],4127
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[3],3933
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[4],3873
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[5],3837
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[6],3911
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[7],3787
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[8],3785
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B[9],3783
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:B_EN,
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:CLK,1895
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[0],4622
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[10],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[11],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[13],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[14],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[16],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[17],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[19],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[1],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[20],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[22],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[23],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[25],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[26],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[28],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[29],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[2],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[31],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[32],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[34],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[35],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[37],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[38],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[3],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[40],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[41],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[43],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[44],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[46],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[47],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[4],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[5],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[6],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[7],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[8],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:C[9],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[0],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[10],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[11],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[12],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[13],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[14],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[15],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[16],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[17],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[1],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[2],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[3],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[4],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[5],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[6],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[7],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[8],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:D[9],
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[0],2015
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[10],2078
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[11],2156
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[12],2073
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[13],1998
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[14],2116
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[15],2285
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[1],1895
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[2],2016
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[3],2057
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[4],1969
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[5],2087
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[6],2039
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[7],2007
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[8],2079
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P[9],2114
k3_mulonly_0[15_0]/MACC_PHYS_INST/INST_MACC_IP:P_EN,
p_0_cry_3:A,3103
p_0_cry_3:B,3064
p_0_cry_3:CC,3911
p_0_cry_3:P,3064
p_0_cry_3:S,3911
p_0_cry_3:Y3,
p_0_cry_3:Y3A,3071
aai_0_cry_6:A,4142
aai_0_cry_6:B,4100
aai_0_cry_6:CC,3917
aai_0_cry_6:P,4100
aai_0_cry_6:S,3917
aai_0_cry_6:Y3,
aai_0_cry_6:Y3A,4149
p_imag_obuf[4]/U_IOPAD:D,
p_imag_obuf[4]/U_IOPAD:E,
p_imag_obuf[4]/U_IOPAD:PAD,
aia_0_s_7:B,4150
aia_0_s_7:C,4167
aia_0_s_7:CC,3782
aia_0_s_7:P,
aia_0_s_7:S,3782
aia_0_s_7:Y3,
aia_0_s_7:Y3A,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:A,3782
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:Y,3782
b_imag_ibuf[5]/U_IOIN:Y,
b_imag_ibuf[5]/U_IOIN:YIN,
overflow_obuf/U_IOPAD:D,
overflow_obuf/U_IOPAD:E,
overflow_obuf/U_IOPAD:PAD,
p_real_obuf[1]/U_IOTRI:D,
p_real_obuf[1]/U_IOTRI:DOUT,
p_real_obuf[1]/U_IOTRI:EOUT,
REG_IN_BI/Q[7]:ALn,
REG_IN_BI/Q[7]:CLK,4105
REG_IN_BI/Q[7]:D,
REG_IN_BI/Q[7]:EN,
REG_IN_BI/Q[7]:Q,4105
p_real_obuf[14]/U_IOTRI:D,
p_real_obuf[14]/U_IOTRI:DOUT,
p_real_obuf[14]/U_IOTRI:EOUT,
bbi_0_cry_4:A,3928
bbi_0_cry_4:B,3880
bbi_0_cry_4:CC,3879
bbi_0_cry_4:P,3880
bbi_0_cry_4:S,3879
bbi_0_cry_4:Y3,
bbi_0_cry_4:Y3A,3968
p_real_obuf[13]/U_IOTRI:D,
p_real_obuf[13]/U_IOTRI:DOUT,
p_real_obuf[13]/U_IOTRI:EOUT,
REG_IN_AI/Q[6]:ALn,
REG_IN_AI/Q[6]:CLK,4100
REG_IN_AI/Q[6]:D,
REG_IN_AI/Q[6]:EN,
REG_IN_AI/Q[6]:Q,4100
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_14:A,5177
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_14:Y,5177
a_real_ibuf[4]/U_IOIN:Y,
a_real_ibuf[4]/U_IOIN:YIN,
p_imag_obuf[11]/U_IOTRI:D,
p_imag_obuf[11]/U_IOTRI:DOUT,
p_imag_obuf[11]/U_IOTRI:EOUT,
aia_0_cry_2:A,3929
aia_0_cry_2:B,3875
aia_0_cry_2:CC,4127
aia_0_cry_2:P,3875
aia_0_cry_2:S,4127
aia_0_cry_2:Y3,
aia_0_cry_2:Y3A,3944
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_6:A,5250
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_6:Y,5250
REG_OUT_R/Q[7]:ALn,
REG_OUT_R/Q[7]:CLK,
REG_OUT_R/Q[7]:D,3838
REG_OUT_R/Q[7]:EN,
REG_OUT_R/Q[7]:Q,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:A,3791
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_17:Y,3791
pi_0_cry_2:A,2055
pi_0_cry_2:B,2016
pi_0_cry_2:CC,4097
pi_0_cry_2:P,2016
pi_0_cry_2:S,4097
pi_0_cry_2:Y3,
pi_0_cry_2:Y3A,2083
b_real_ibuf[7]/U_IOPAD:PAD,
b_real_ibuf[7]/U_IOPAD:Y,
REG_IN_AI/Q[5]:ALn,
REG_IN_AI/Q[5]:CLK,3964
REG_IN_AI/Q[5]:D,
REG_IN_AI/Q[5]:EN,
REG_IN_AI/Q[5]:Q,3964
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_2:A,5256
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_2:Y,5256
clk_ibuf/U_IOPAD:PAD,
clk_ibuf/U_IOPAD:Y,
p_0_cry_1:A,2941
p_0_cry_1:B,2902
p_0_cry_1:CC,4145
p_0_cry_1:P,2902
p_0_cry_1:S,4145
p_0_cry_1:Y3,
p_0_cry_1:Y3A,2990
b_real_ibuf[6]/U_IOIN:Y,
b_real_ibuf[6]/U_IOIN:YIN,
bbi_0_cry_3:A,3987
bbi_0_cry_3:B,3939
bbi_0_cry_3:CC,3939
bbi_0_cry_3:P,3939
bbi_0_cry_3:S,3939
bbi_0_cry_3:Y3,
bbi_0_cry_3:Y3A,3964
p_imag_obuf[5]/U_IOPAD:D,
p_imag_obuf[5]/U_IOPAD:E,
p_imag_obuf[5]/U_IOPAD:PAD,
pi_0_cry_5:A,2126
pi_0_cry_5:B,2087
pi_0_cry_5:CC,3815
pi_0_cry_5:P,2087
pi_0_cry_5:S,3815
pi_0_cry_5:Y3,
pi_0_cry_5:Y3A,2151
REG_IN_AI/Q[4]:ALn,
REG_IN_AI/Q[4]:CLK,3880
REG_IN_AI/Q[4]:D,
REG_IN_AI/Q[4]:EN,
REG_IN_AI/Q[4]:Q,3880
p_imag_obuf[3]/U_IOTRI:D,
p_imag_obuf[3]/U_IOTRI:DOUT,
p_imag_obuf[3]/U_IOTRI:EOUT,
p_imag_obuf[6]/U_IOPAD:D,
p_imag_obuf[6]/U_IOPAD:E,
p_imag_obuf[6]/U_IOPAD:PAD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:A,3789
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_19:Y,3789
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:A,3788
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_21:Y,3788
REG_IN_B/Q[0]:ALn,
REG_IN_B/Q[0]:CLK,3894
REG_IN_B/Q[0]:D,
REG_IN_B/Q[0]:EN,
REG_IN_B/Q[0]:Q,3894
p_real_obuf[6]/U_IOPAD:D,
p_real_obuf[6]/U_IOPAD:E,
p_real_obuf[6]/U_IOPAD:PAD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:A,3789
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:Y,3789
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_12:A,5256
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_12:Y,5256
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:A,3789
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:Y,3789
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_22:A,5176
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_22:Y,5176
p_imag_obuf[4]/U_IOTRI:D,
p_imag_obuf[4]/U_IOTRI:DOUT,
p_imag_obuf[4]/U_IOTRI:EOUT,
ov_0_0_0:A,2507
ov_0_0_0:B,2462
ov_0_0_0:C,2395
ov_0_0_0:D,1291
ov_0_0_0:Y,1291
REG_OUT_R/Q[9]:ALn,
REG_OUT_R/Q[9]:CLK,
REG_OUT_R/Q[9]:D,3865
REG_OUT_R/Q[9]:EN,
REG_OUT_R/Q[9]:Q,
p_0_cry_0:A,3010
p_0_cry_0:B,2971
p_0_cry_0:CC,
p_0_cry_0:P,2971
p_0_cry_0:Y3,
p_0_cry_0:Y3A,2978
b_imag_ibuf[2]/U_IOIN:Y,
b_imag_ibuf[2]/U_IOIN:YIN,
REG_OUT_R/Q[14]:ALn,
REG_OUT_R/Q[14]:CLK,
REG_OUT_R/Q[14]:D,3736
REG_OUT_R/Q[14]:EN,
REG_OUT_R/Q[14]:Q,
p_real_obuf[15]/U_IOTRI:D,
p_real_obuf[15]/U_IOTRI:DOUT,
p_real_obuf[15]/U_IOTRI:EOUT,
p_real_obuf[11]/U_IOPAD:D,
p_real_obuf[11]/U_IOPAD:E,
p_real_obuf[11]/U_IOPAD:PAD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_10:A,5255
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_10:Y,5255
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:A,4183
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_3:Y,4183
pi_0_cry_7:A,2046
pi_0_cry_7:B,2007
pi_0_cry_7:CC,3838
pi_0_cry_7:P,2007
pi_0_cry_7:S,3838
pi_0_cry_7:Y3,
pi_0_cry_7:Y3A,2067
p_imag_obuf[2]/U_IOPAD:D,
p_imag_obuf[2]/U_IOPAD:E,
p_imag_obuf[2]/U_IOPAD:PAD,
REG_IN_B/Q[6]:ALn,
REG_IN_B/Q[6]:CLK,4148
REG_IN_B/Q[6]:D,
REG_IN_B/Q[6]:EN,
REG_IN_B/Q[6]:Q,4148
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:A,3879
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_9:Y,3879
REG_OUT_R/Q[3]:ALn,
REG_OUT_R/Q[3]:CLK,
REG_OUT_R/Q[3]:D,3911
REG_OUT_R/Q[3]:EN,
REG_OUT_R/Q[3]:Q,
REG_IN_B/Q[1]:ALn,
REG_IN_B/Q[1]:CLK,3836
REG_IN_B/Q[1]:D,
REG_IN_B/Q[1]:EN,
REG_IN_B/Q[1]:Q,3836
pi_0_cry_0_CC_0:CC[0],
pi_0_cry_0_CC_0:CC[10],3802
pi_0_cry_0_CC_0:CC[11],3764
pi_0_cry_0_CC_0:CC[1],4139
pi_0_cry_0_CC_0:CC[2],4097
pi_0_cry_0_CC_0:CC[3],3911
pi_0_cry_0_CC_0:CC[4],3853
pi_0_cry_0_CC_0:CC[5],3815
pi_0_cry_0_CC_0:CC[6],3892
pi_0_cry_0_CC_0:CC[7],3838
pi_0_cry_0_CC_0:CC[8],3795
pi_0_cry_0_CC_0:CC[9],3865
pi_0_cry_0_CC_0:CO,1895
pi_0_cry_0_CC_0:P[0],1958
pi_0_cry_0_CC_0:P[10],2078
pi_0_cry_0_CC_0:P[11],2156
pi_0_cry_0_CC_0:P[1],1895
pi_0_cry_0_CC_0:P[2],2016
pi_0_cry_0_CC_0:P[3],2057
pi_0_cry_0_CC_0:P[4],1969
pi_0_cry_0_CC_0:P[5],2087
pi_0_cry_0_CC_0:P[6],2039
pi_0_cry_0_CC_0:P[7],2007
pi_0_cry_0_CC_0:P[8],2079
pi_0_cry_0_CC_0:P[9],2119
pi_0_cry_0_CC_0:Y3A[0],1969
pi_0_cry_0_CC_0:Y3A[10],2136
pi_0_cry_0_CC_0:Y3A[11],2217
pi_0_cry_0_CC_0:Y3A[1],1987
