SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,SINE_GENERATOR.COREDDS_C0_0.sin_cos_lut_0.qrtr_wave\.grtr_lut_0.qrtr_red_ram_0.PF_lsram\.lsram_g5_0.COREDDS_C0_COREDDS_C0_0_dds_g5_lsram_R0C0,dds_kitCountS_2s_3s_1s|N_5_inferred_clock,DDS_PNFreq|CLK,SINE_GENERATOR.COREDDS_C0_0.dds_initializer_0.wA_count_0.Q[8:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
2,SINE_GENERATOR.COREDDS_C0_0.sin_cos_lut_0.qrtr_wave\.grtr_lut_0.qrtr_blue_ram_0.PF_lsram\.lsram_g5_0.COREDDS_C0_COREDDS_C0_0_dds_g5_lsram_R0C0,dds_kitCountS_2s_3s_1s|N_5_inferred_clock,DDS_PNFreq|CLK,SINE_GENERATOR.COREDDS_C0_0.dds_initializer_0.wA_count_0.Q[8:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
